1,x0,x0^2,x0^3,x0^4,x0^5,x0^6,y
0.0,-1.758515982451277,-1.6084425230270314,-1.4711858553429882,-1.3472965357606372,-1.236737590974937,-1.1389810010638108,0.009195068571428568
0.0,-1.7535161652184437,-1.6046871195736505,-1.468409600833526,-1.3452747457193772,-1.2352857122328245,-1.1379517438103757,-0.25207676964285713
0.0,-1.7485163479856103,-1.600928194879338,-1.4656281375929274,-1.3432472631716146,-1.2338283804322123,-1.136917652103493,-0.028840297857142858
0.0,-1.7385167135199437,-1.5933997817679189,-1.4600495653916803,-1.339175177846129,-1.2308972962415021,-1.1348348926822396,0.1607053507142857
0.0,-1.7335168962871104,-1.589630293350812,-1.4572524466677121,-1.3371305536881775,-1.2294235130724716,-1.1337861885165716,0.283055485
0.0,-1.728517079054277,-1.585857283692774,-1.4544500996859675,-1.3350801942632686,-1.2279442152870215,-1.1327325769946686,0.37395860428571426
0.0,-1.7235172618214436,-1.5820807527938041,-1.4516425195647866,-1.3330240888562874,-1.2264593874236236,-1.1316740397627252,0.5040824610714285
0.0,-1.7185174445886104,-1.5783007006539032,-1.4488297014225093,-1.33096222674212,-1.2249690139918776,-1.1306105584155008,0.9818813653571428
0.0,-1.713517627355777,-1.574517127273071,-1.4460116403774763,-1.3288945971856523,-1.2234730794724824,-1.1295421144962239,0.9457181971428572
0.0,-1.7085178101229437,-1.5707300326513067,-1.4431883315480267,-1.326821189441769,-1.2219715683172097,-1.1284686894964946,1.1933552864285715
0.0,-1.6885185411916104,-1.5555464417549365,-1.4318425207528707,-1.3184695613397905,-1.2159094453588397,-1.1241248067127318,0.8417054385714285
0.0,-1.683518723958777,-1.5517417409285155,-1.428992899776442,-1.31636710113211,-1.2143798167864357,-1.123026196871063,1.0533065803571429
0.0,-1.6785189067259436,-1.547933518861163,-1.426138001725638,-1.314258798056325,-1.2128445176798137,-1.121922493808982,0.8674980921428571
0.0,-1.6685192722602764,-1.540306511003663,-1.420412354874263,-1.3100246200299799,-1.2097568448288918,-1.1196997324812306,0.8390154982142857
0.0,-1.663519455027443,-1.536487725213516,-1.4175415963103728,-1.3078987234191894,-1.2082044394941969,-1.1185806363132889,1.6702343875
